OrderID,CustomerID,Product,Category,Brand,Quantity,PricePaid,OrderDate,PaymentMethod
ORD00001,CUST0084,Hyaluronate Collagen Essence Mask,Beauty & Hygiene,Dermal,4,394.4,2025-01-29,upi 
ORD00002,CUST0087,Herbal Multi Care Sensitive Toothpaste,"FOODGRAINS, oil & Masala",Sensodyne,3,375.0,2025-02-09,Net Banking
ORD00003,CUST0075,Organic - Moringa Powder,"Foodgrains, Oil & Masala",Phalada Pure & Sure,2,360.0,2025-02-28,Cash on Delivery
ORD00004,CUST0036,"Ultra Clean Sanitary Pads For Women, XL+",Beauty & Hygiene,Whisper ,2,1332.8,2025-02-14,Cash on Delivery
ORD00005,CUST0014,Candy Slice In Black Currant Apple Flavour,Gourmet & World Food,Orileys,4,180.0,2025-02-19,Cash on Delivery
ORD00006,CUST0040,Dark Fantasy Bourbon Chocolate Cream Biscuits,Snacks & Branded Foods,Sunfeast,4,120.0,2025-02-06,Cash on Delivery
ORD00007,CUST0075,Carrot & Cucumber Sandwich Spread Chef's Special,Snacks & Branded Foods,Veeba,3,102.0,2025-03-27,Debit Card
ORD00008,CUST0018,Tulsi Natura Green Tea Bags,Beverages,Lipton ,4,528.0,2025-02-08,Credit Card
ORD00009,CUST0088,Peanut Filled Chocolate,Gourmet & World Food,Snickers,1,200.0,2025-01-26,Debit Card
ORD00010,CUST0022,Neem Shampoo - Anti-Dandruff Formula,Beauty & Hygiene,Jiva Ayurveda,3,450.0,2025-01-22,Debit Card
ORD00011,CUST0040,Blooming Colour Shampoo - Murumuru Butter & Rose Aroma,Beauty & Hygiene,Love Beauty & Planet,2,1200.0,2025-01-08,UPI
ORD00012,CUST0001,Basmati Rice/Basmati Akki - Brown (Quick Cooking),"Foodgrains, Oil & Masala",Daawat ,1,649.0,2025-02-05,Credit Card
ORD00013,CUST0009,Lemongrass Floor Cleaner,Cleaning & Household,Nimyle,3,252.0,2025-01-06,Net Banking
ORD00014,CUST0016,Rosemary Pure Essential Oil,Beauty & Hygiene,INATUR ,5,1575.0,2024-12-02,Net Banking
ORD00015,CUST0040,"Stainless Steel Water Bottle - Red, BB 493 3","Kitchen, Garden & Pets",DP,4,716.0,2025-01-08,UPI
ORD00016,CUST0029,Deep Clean Germ Protection Liquid Handwash Refill Pouch,Beauty & Hygiene,Savlon,4,144.0,2025-03-13,Debit Card
ORD00017,CUST0081,Opticare Smooth Straight Shampoo,Beauty & Hygiene,Matrix,5,2500.0,2024-12-30,UPI
ORD00018,CUST0065,Whisky Glass - Truva DOF,"Kitchen, Garden & Pets",Lyra,5,2345.0,2025-01-17,Credit Card
ORD00019,CUST0015,Hide & Seek Choco Rolls,Snacks & Branded Foods,Parle,4,150.0,2025-03-23,Cash on Delivery
ORD00020,CUST0047,Chocos - Moons & Stars,Snacks & Branded Foods,Kelloggs,4,1500.68,2025-01-20,Credit Card
ORD00021,CUST0053,Detangling Comb (HC-11),Beauty & Hygiene,Bare Essentials,2,178.2,2025-03-02,Net Banking
ORD00022,CUST0019,Tea Tree & Activated Charcoal Bath & Body Treatment - Soap & Face Wash,Beauty & Hygiene,Natural Vibes,4,2792.0,2024-12-29,Debit Card
ORD00023,CUST0073,Pasta Sauce - Basilico,Gourmet & World Food,Barilla,1,349.0,2025-01-24,Credit Card
ORD00024,CUST0074,Pineapple Economy Long Box - FG06724,Cleaning & Household,Shalimar,5,270.0,2025-03-08,Cash on Delivery
ORD00025,CUST0024,Chicken Nuggets,Snacks & Branded Foods,sumeru,3,807.0,2025-01-06,Cash on Delivery
ORD00026,CUST0059,Elnett Satin Normal Strength Hair Spray,Beauty & Hygiene,Loreal Paris,3,2250.0,2025-01-22,Credit Card
ORD00027,CUST0003,Orange Drink,Gourmet & World Food,Ala Fresh,1,10.0,2024-12-24,Credit Card
ORD00028,CUST0082,Facial Box Tissue Paper - Boutique,Cleaning & Household,Selpak,3,1020.0,2024-12-15,Net Banking
ORD00029,CUST0084,"Hand Wash - Naturals, Sea Mineral",Beauty & Hygiene,Palmolive,5,445.0,2025-01-27,Debit Card
ORD00030,CUST0070,Snackies Biscuits,Snacks & Branded Foods,Bisk Farm,5,125.0,2025-02-01,Credit Card
ORD00031,CUST0023,Alpha Tribe - Body Spray,Beauty & Hygiene,Red Hunt,3,597.6,2024-12-03,Credit Card
